id;name;description;command;status
1;Via collaborative Manager;intranet Hat Computer;back-end Music turquoise;VACATION
2;Nevada XSS back-end;ivory;Incredible Managed web-re;START
3;cyan Human RAM;Ball capability Concrete;payment;DELETED
4;info-mediaries Somoni;Colon holistic portal;deposit salmon granular;INACTIVE
5;capacitor Buckinghamshire;task-force index;synthesize;DELETED
6;back-end;SMS Skyway;action-items mobile;BACK
7;Meadows Port;Savings;auxiliary;AFTER_LUNCH
8;Health;bluetooth;ROI Practical;ACTIVE
9;Mexico projection;panel haptic Borders;virtual purple;INACTIVE
10;Tools copying lime;North;auxiliary;GO_HOME
