id;start;to_lunch;from_lunch;jhi_end;reason_description;status
1;2022-06-29T00:08:06;2022-06-28T22:50:10;2022-06-29T05:14:16;2022-06-28T06:39:51;migration cross-platform;DELETED
2;2022-06-28T21:37:49;2022-06-28T13:09:55;2022-06-28T23:12:21;2022-06-28T16:44:59;algorithm black mobile;INACTIVE
3;2022-06-28T06:30:10;2022-06-29T01:34:05;2022-06-28T20:33:54;2022-06-28T09:19:00;bus Dollar eyeballs;VACATION
4;2022-06-28T08:27:51;2022-06-29T00:37:13;2022-06-28T06:52:07;2022-06-28T10:46:17;programming up;AT_LUNCH
5;2022-06-29T03:06:14;2022-06-28T14:09:03;2022-06-28T09:15:22;2022-06-28T13:43:01;Consultant;AFTER_WORK
6;2022-06-29T00:04:23;2022-06-28T15:19:55;2022-06-29T05:14:15;2022-06-28T18:50:25;conglomeration asynchronous synergistic;START_BOT
7;2022-06-28T22:43:31;2022-06-28T07:55:16;2022-06-29T01:06:50;2022-06-28T17:43:31;application;BACK
8;2022-06-29T03:06:39;2022-06-28T17:01:32;2022-06-29T05:09:23;2022-06-28T07:01:39;Springs Court Buckinghamshire;ACTIVE
9;2022-06-28T06:50:54;2022-06-29T04:44:16;2022-06-29T02:20:59;2022-06-29T05:09:12;system-worthy leverage;WITH_REASON
10;2022-06-29T02:54:55;2022-06-28T12:46:52;2022-06-29T01:11:49;2022-06-29T03:30:10;Robust;DISEASE
